Date,Open,High,Low,Close,Adj Close,Volume
2018-05-10,251.809998,251.809998,251.809998,251.809998,242.687241,0
2018-05-11,252.330002,252.330002,252.330002,252.330002,243.188416,0
2018-05-14,252.559998,252.559998,252.559998,252.559998,243.410080,0
2018-05-15,250.839996,250.839996,250.839996,250.839996,241.752396,0
2018-05-16,251.929993,251.929993,251.929993,251.929993,242.802872,0
2018-05-17,251.779999,251.779999,251.779999,251.779999,242.658325,0
2018-05-18,251.139999,251.139999,251.139999,251.139999,242.041534,0
2018-05-21,253.000000,253.000000,253.000000,253.000000,243.834122,0
2018-05-22,252.210007,252.210007,252.210007,252.210007,243.072754,0
2018-05-23,253.029999,253.029999,253.029999,253.029999,243.863052,0
2018-05-24,252.529999,252.529999,252.529999,252.529999,243.381165,0
2018-05-25,251.960007,251.960007,251.960007,251.960007,242.831818,0
2018-05-29,249.059998,249.059998,249.059998,249.059998,240.036865,0
2018-05-30,252.259995,252.259995,252.259995,252.259995,243.120956,0
2018-05-31,250.580002,250.580002,250.580002,250.580002,241.501816,0
2018-06-01,253.320007,253.320007,253.320007,253.320007,244.142532,0
2018-06-04,254.460007,254.460007,254.460007,254.460007,245.241226,0
2018-06-05,254.649994,254.649994,254.649994,254.649994,245.424347,0
2018-06-06,256.839996,256.839996,256.839996,256.839996,247.535019,0
2018-06-07,256.700012,256.700012,256.700012,256.700012,247.400116,0
2018-06-08,257.510010,257.510010,257.510010,257.510010,248.180725,0
2018-06-11,257.790009,257.790009,257.790009,257.790009,248.450592,0
2018-06-12,258.239990,258.239990,258.239990,258.239990,248.884308,0
2018-06-13,257.209991,257.209991,257.209991,257.209991,247.891586,0
2018-06-14,257.929993,257.929993,257.929993,257.929993,248.585510,0
2018-06-15,257.690002,257.690002,257.690002,257.690002,248.354233,0
2018-06-18,257.149994,257.149994,257.149994,257.149994,247.833771,0
2018-06-19,256.119995,256.119995,256.119995,256.119995,246.841110,0
2018-06-20,256.559998,256.559998,256.559998,256.559998,247.265167,0
2018-06-21,254.949997,254.949997,254.949997,254.949997,245.713501,0
2018-06-22,255.440002,255.440002,255.440002,255.440002,246.185699,0
2018-06-25,251.929993,251.929993,251.929993,251.929993,242.802872,0
2018-06-26,252.479996,252.479996,252.479996,252.479996,243.332962,0
2018-06-27,249.210007,249.210007,249.210007,249.210007,241.230530,0
2018-06-28,250.779999,250.779999,250.779999,250.779999,242.750244,0
2018-06-29,250.990005,250.990005,250.990005,250.990005,242.953522,0
2018-07-02,251.759995,251.759995,251.759995,251.759995,243.698883,0
2018-07-03,250.520004,250.520004,250.520004,250.520004,242.498581,0
2018-07-05,252.740005,252.740005,252.740005,252.740005,244.647507,0
2018-07-06,254.899994,254.899994,254.899994,254.899994,246.738342,0
2018-07-09,257.220001,257.220001,257.220001,257.220001,248.984055,0
2018-07-10,258.119995,258.119995,258.119995,258.119995,249.855240,0
